Time,mys01,mys02,mys03,mys04,mys05,mys06,mys07
184500,16319,75526,86646196,695553084,88565,189781,291287
185000,15299,83311,83279721,701961492,91076,185523,321234
185500,17612,83604,87101003,695240649,90860,195718,308373
186000,18123,75179,88333921,692883827,89616,193110,307283
186500,17327,74861,77704400,711305853,92579,192508,300775
187000,16992,80360,79206627,722745484,91304,190134,294097
187500,17081,79841,77994831,796765767,92558,198511,281257
188000,17667,78841,82063479,1032594806,101825,190992,264831
188500,16787,79421,85660914,1051416691,88679,184400,263172
189000,16187,76860,81181328,1263005057,90588,183387,254059
189500,16511,92787,79818095,1094896215,93888,185929,255858
190000,15897,78571,81989972,1265060085,90234,179893,258002
190500,16163,88624,79193191,894072399,89284,186794,251625
191000,16672,78766,79834413,742862045,89013,179127,263845
191500,14833,78157,79339278,786864369,96319,179285,256582
192000,16894,103966,78417889,761248877,96574,179681,255556
192500,16658,79056,91206758,818438633,95449,180297,257102
193000,16458,77371,85421251,823715058,96122,179212,253301
193500,16430,77236,99939888,822805059,91633,190695,256956
194000,16841,87598,91972771,820340260,97270,186743,256222
194500,16725,78182,77883676,822964131,91720,187780,256603
195000,16195,75944,78609931,791134493,93948,179132,280973
195500,17282,77778,79625388,1011310526,93112,187309,249610
196000,17780,78016,77599766,1032085835,93039,182034,262629
196500,16771,78879,76570554,1012349100,98813,183710,257193
197000,16728,76921,86858485,946613684,87777,181204,245080
197500,26213,76146,90101333,845519434,90646,185755,250561
198000,18007,77378,95492465,794712559,88170,191398,259587
198500,16062,76734,99114123,840484506,95331,183636,256136
199000,16842,77137,90933345,797964097,89082,181178,256722
199500,17162,78081,97953155,833411263,90132,195694,267408
200000,16801,478088,89794823,805476886,92313,182547,259312
200500,11242,82868782,218304,801224004,46428,26498,79976
201000,11326,82200613,811330,869654774,45109,31476,74891
201500,11081,82226787,1555438,994061905,47754,24805,74719
202000,10294,81125697,2168584,1148426769,50126,25163,75628
202500,11332,80720261,3227808,1367100836,46239,24213,76682
203000,11388,80296449,3489797,1188528642,47672,24296,72199
203500,11270,83442278,4083848,947515993,45955,23697,76885
204000,11269,79753285,4820269,985623080,46589,23626,76371
204500,11347,79031565,5354939,1057980380,46495,23876,80216
205000,11277,78790261,6221423,974055174,48843,24538,75189
205500,11277,82366852,7045123,1008600349,58007,24849,71513
206000,11624,78145427,7596874,956549321,42712,23612,75200
206500,11177,78868798,8710045,1081402116,45682,22685,70855
207000,11442,77122388,9499383,1157378331,48573,23703,73641
207500,11484,78520132,10342631,924361757,48874,23200,72042
208000,11568,76094480,11178054,1018717882,36375,23533,72688
208500,11275,75675881,11992491,1094211651,52569,24102,69697
209000,11717,75162909,12642721,1061470119,52010,28382,72643
209500,11245,74729299,13369763,1059365058,45383,24419,69644
210000,11351,74339232,14037960,1032290383,51723,23502,70565
210500,10569,73879509,14817788,869282415,43901,24134,72772
211000,11249,73697784,16056817,947679137,34282,22948,70547
211500,11314,73046270,16179058,847743039,45188,23775,73978
212000,11546,75203732,17131395,794767740,41672,23674,71995
212500,11320,73284515,17704839,864029718,42661,22549,76162
213000,12870,74519929,18216745,708737893,33847,23804,76602
213500,11193,71620995,19533044,685523780,43369,24192,77097
214000,11283,71263659,19814508,785887704,44832,24856,77339
214500,11287,70718034,20546576,1179403445,42135,20703,71925
215000,11300,70098859,21180921,1319705118,43421,24169,70090
215500,11010,69682364,22003911,676172558,40555,23905,71792
216000,11262,69344994,22596666,634211874,42344,24310,72027
216500,11219,68863895,23329545,647098335,40941,23541,71214
217000,11373,68456016,24487225,682771568,43307,23844,75054
217500,11406,69269054,25331958,632799357,42748,23069,76795
218000,11469,67605338,26384989,638096070,40089,23558,74560
218500,11318,67203510,26299966,612628251,43387,23440,76734
219000,11469,67446510,27370060,718643052,43996,24670,75533
219500,11318,69422291,27860534,697639883,39007,26001,70472
220000,11466,68193804,28302903,669775812,45158,24116,72991
220500,11126,66156321,29155437,650039314,37212,23072,72044
221000,11414,65662303,29664030,629441749,27855,23773,69345
221500,11439,67400837,30481768,860773839,35740,24515,72077
222000,11308,67958695,31004061,721393421,37279,22977,71379
222500,11090,69209776,32016878,715506831,38960,24771,78171
223000,11134,65027136,32342749,638501966,38838,29498,78826
223500,11253,64582568,33074015,685354937,37430,23246,77095
224000,11247,63708768,35891496,641862925,31345,23715,73635
224500,11286,62376619,34440163,616404259,30322,24228,71148
225000,11610,61797892,35304668,632715171,37317,25284,71312
225500,11220,61379583,35911437,650717177,30218,24982,72729
226000,11784,61147785,36560873,614982769,36796,23980,72698
226500,11681,60449983,37499347,598873414,28435,23446,71474
227000,11640,60827058,38313064,654827364,30111,22881,71683
227500,11304,60575640,38755759,607463195,31028,23731,72947
228000,11368,61273308,39255484,577824555,36648,23930,74594
228500,33661,59277605,40763859,615348131,40268,25414,73359
229000,12910,58622298,41049874,560967519,36101,24623,71163
229500,10199,58205545,41675693,584938470,35935,23689,71273
230000,10527,57994784,43245906,553907025,38416,23874,70527
230500,10463,57255977,43000783,615567511,26835,24491,68848
231000,10466,72506084,43895735,576891410,26283,24344,71682
231500,10516,70903620,45678065,525876298,33718,22092,71082
232000,10264,60684620,45134005,493540974,27015,29243,73228
232500,11752,55562581,45911278,525797215,28903,25972,74951
233000,12040,55368836,48018619,571026023,26747,25409,72945
233500,11405,54688884,49387968,471762160,32980,26018,76728
234000,11403,54347566,50452568,520180959,26129,26197,76494
234500,11314,53671249,49833534,512928088,27149,30592,71789
235000,11437,53244762,50492633,572643493,27181,29034,71331
235500,11177,55708197,50856869,571485897,26297,22790,71460
236000,11269,53781079,51642117,586559245,25932,22685,70974
236500,11179,55689694,52436112,494888403,26827,30375,70230
237000,11399,51767563,52959648,475203375,26768,30293,71978
237500,12017,51216099,53647732,481826233,26271,31461,70777
